階層,アイテムカテゴリ,,,,,,,,,,,,,,,,,,,,
,確率(%),,,,,,,,,,,,,,,,,,,,確率合計(%)
1F,1,2,3,4,,,,,,,,,,,,,,,,,
,40,30,20,10,,,,,,,,,,,,,,,,,100
2F,1,2,3,4,,,,,,,,,,,,,,,,,
,40,30,20,10,,,,,,,,,,,,,,,,,100
3F,1,3,5,7,9,11,13,57,,,,,,,,,,,,,
,5,7,9,11,13,15,17,23,,,,,,,,,,,,,100
4F,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0
5F,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0
6F,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0
7F,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0
8F,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0
9F,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0
10F,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0
11F,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0
12F,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0
13F,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0
14F,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0
15F,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0
16F,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0
17F,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0
18F,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0
19F,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0
20F,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0
21F,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0
22F,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0
23F,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0
24F,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0
25F,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0
26F,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0
27F,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0
28F,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0
29F,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0
30F,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0
